Time	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
Australia	NA	NA	NA	NA	NA	NA	1.603361756	1.733205833	1.580750662	1.497586377	1.428571429	1.654631363	2.50095589	1.796661402	2.348232155	4.552436354	4.726520854	5.653815893	6.425353232	6.264915937	6.105157688	5.783630249	7.162648857	9.961372845	8.986809936	8.258136559	8.080568189	8.106389131	7.225804979	6.174977236	6.925974058	9.593233762	10.80462256	10.89656659	9.748048572	8.494266923	8.546921008	8.450530286	7.716541959	6.930822639	6.275664747	6.754977827	6.362729954	5.943825238	5.396655739	5.044809265	4.789342877	4.379646387	4.24912337	5.592227523	5.230662827
Belgium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.65867016	11.88019837	11.32417562	11.27783608	11.25648184	10.12935309	8.286654851	7.249868145	6.988250259	6.702830393	8.075905505	9.646700216	9.339473339	9.482841192	8.955817946	9.322488453	8.648605673	6.586370767	6.177546807	7.513940402	8.174283624	8.391698158	8.440212416	8.245880023	7.457933625	6.975596172	7.907568493	8.292460959
Canada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.088730663	8.04814049	8.375916662	7.527152008	7.535019193	7.607123301	11.04057097	12.01887003	11.3460935	10.6452307	9.685051236	8.817223381	7.763763299	7.546471839	8.132090307	10.31639742	11.19744983	11.37712936	10.39290763	9.489220045	9.605566258	9.093139693	8.268683228	7.572198691	6.821123071	7.220214365	7.663242271	7.57278918	7.176670864	6.750481434	6.306203431	6.023631514	6.117795726	8.260079556	8.005743838
Denmark	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.74428512	8.871887292	7.798014179	6.031387687	6.090674374	6.486505222	8.14804007	8.338495668	9.095881178	9.028636007	10.71442819	8.036162976	6.992129927	6.843777272	5.399964305	5.038903392	5.141529972	4.476027327	4.164213546	4.586032591	5.406545728	5.507745862	4.82988624	3.897012714	3.792321932	3.333304339	5.980950051	7.439725372
Finland	NA	NA	NA	1.482854495	1.510297483	1.374255612	1.505474453	2.893890675	3.938832252	2.826691381	2.03539823	2.422907489	2.724077329	2.452667814	1.856540084	2.612726507	3.885135135	5.825242718	7.296499367	5.958333333	4.668304668	4.890864996	5.376344086	5.496243575	5.188679245	5.099260413	5.289770517	5.168363352	4.516889238	3.177641654	3.068661297	6.503115265	11.59477641	16.20111732	16.42570281	15.26504583	14.39333862	12.56481851	11.41390205	10.12020163	9.731800766	9.063214014	8.98021309	8.966043495	8.785332315	8.371212121	7.637588918	6.827458256	6.309611152	8.280492354	8.395245171
France	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.919969444	9.533326636	10.2585993	10.23148421	10.73572177	10.18433921	9.622385089	9.359842876	9.167480906	10.24733351	11.37089242	12.66262526	11.8910328	12.4212707	12.62992403	12.12180921	12.08310166	10.24380496	8.610404848	8.701657158	8.456469186	8.835707447	8.851125115	8.814786812	7.983650242	7.393531211	9.117100901	9.312470408
Germany	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.555576271	0.687710969	0.909258508	0.997302617	2.125788917	3.951298462	3.921953024	3.808801775	3.655973248	3.182098878	3.180191785	4.49217508	6.418966242	7.898343005	7.047164229	7.106946107	6.431102267	6.217595104	6.184566914	5.567603593	4.837518834	5.568891023	6.621929602	7.869656445	8.40170161	8.126777733	8.862199747	9.815103251	9.21177351	8.406967937	7.748349397	7.833602096	8.566887818	9.266946793	10.28907521	11.14766082	10.29284269	8.636614447	7.510770704	7.725609319	7.057894359
Greece	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.808924332	8.102723272	7.802621144	7.361358077	7.355383187	7.651168032	7.456789976	7.024568842	7.656375803	7.842550285	8.972305374	8.862839083	9.062038154	9.655077446	9.577248024	10.76052496	11.72649564	11.06693543	10.19464026	10.31246979	9.712675947	10.49282297	9.849708205	8.890642758	8.276213898	7.653534455	9.460424685	12.53053489
Ireland	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.03549029	15.59534741	16.7047358	17.23003977	16.9587551	16.38271981	15.18987342	13.03296039	14.75617009	15.1806698	15.7924948	14.84250805	12.15836509	11.97293528	10.33243661	7.829813284	5.906826839	4.50240998	3.850409383	4.436638746	4.595325171	4.521084648	4.704268143	4.58573639	4.645917907	5.657007635	12.00980392	13.64206419
Italy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.16547508	3.168172847	3.663022914	3.484974958	2.877993627	3.328244275	3.68617182	7.145170994	7.243442246	7.691610799	7.585374575	7.854542225	8.505177449	9.373220621	10.03748257	10.30143148	11.12294907	11.95234273	12.02784958	12.0197746	11.37060041	10.91688654	11.51784978	9.982174688	10.96153846	11.53577051	11.54733406	11.63485262	11.75312446	11.34200238	10.51827348	9.484790383	8.985218402	8.650924126	8.040881665	7.729112992	6.786258799	6.090461701	6.741736447	7.788981049	8.420757588
